Gender;Weight;Size;Eyes;Hair;Shoesize;Mathgrade;Germangrade;Englishgrade;Smoker;EduMother;SizeMother;SmokeMother;EduFather;SizeFather;SmokeFather;ZodiacSign
male;70;175;green;brown;42;1;3;4;yes;Degree;165;no;Degree;168;yes;Aquarius
male;76;178;green;brown;41;2;3;3;yes;;168;no;;174;yes;Taurus
female;50;164;brown;brown;36;1;1;1;yes;Upper Secondary;162;no;Upper Secondary;175;no;Capricorn
female;48;168;blue;blonde;38;1;3;3;no;Upper Secondary;162;no;Upper Secondary;175;no;Aries
male;80;181;blue;brown;43;3;2;3;no;Secondary;159;yes;Secondary;172;no;Sagittarius
male;74;185;blue;brown;42;;2;;no;Secondary;160;no;Secondary;179;no;Pisces
male;77;171;blue;brown;43;1;2;2;no;Upper Secondary;165;no;Secondary;191;no;Sagittarius
male;65;182;brown;brown;41;3;4;4;no;Secondary;165;no;Upper Secondary;175;no;Leo
male;78;191;brown;brown;44;;1;1;no;Upper Secondary;175;no;Secondary;192;yes;Scorpio
male;66;184;blue;blonde;43;3;3;2;no;Degree;168;no;Degree;172;yes;Scorpio
male;64;173;brown;brown;41;1;1;1;no;Secondary;156;no;Degree;170;no;Aquarius
male;65;177;brown;brown;42;3;2;2;yes;Degree;165;no;Degree;179;no;Leo
male;74;185;brown;black;45;1;4;4;no;Secondary;175;no;Secondary;180;no;Leo
male;68;186;blue;brown;43;;;;no;Secondary;165;no;Secondary;185;no;Gemini
male;68;176;brown;brown;43;2;3;2;yes;Secondary;159;yes;Secondary;183;no;Cancer
male;70;170;blue;brown;42;2;1;1;yes;Degree;175;no;Degree;165;no;Cancer
male;63;169;green;brown;40;;;;yes;Secondary;158;no;Secondary;167;no;Scorpio
female;48;165;gray;brown;37;3;4;3;no;Secondary;170;no;Secondary;170;no;Gemini
female;56;170;bluegray;white;39;1;2;3;no;Upper Secondary;180;no;Secondary;165;no;Leo
male;67;177;blue;blonde;42;4;3;3;no;Secondary;167;no;Secondary;168;yes;Gemini
male;64;175;green;brown;42;2;2;1;yes;Secondary;161;no;Secondary;174;no;Capricorn
female;60;161;brown;black;38;1;2;3;no;Secondary;167;no;Secondary;179;no;Aries
female;57;172;brown;brown;39;1;3;;no;Upper Secondary;180;yes;Upper Secondary;170;no;Leo
female;52;167;green;brown;37;1;1;2;no;Secondary;175;no;Secondary;168;no;Libra
female;62;172;green;blonde;38;1;1;1;no;Secondary;165;yes;Upper Secondary;172;no;Capricorn
male;73;180;brown;brown;41;1;4;4;no;Secondary;176;yes;Upper Secondary;168;no;Capricorn
male;67;184;brown;brown;42;1;1;2;yes;Secondary;171;no;Degree;171;yes;Aries
female;49;172;brown;brown;38;2;2;2;no;Secondary;166;no;Secondary;175;yes;Cancer
female;52;167;brown;brown;37;1;3;2;no;Secondary;176;yes;Secondary;170;yes;Pisces
female;65;170;greenbrown;blonde;38;1;1;;yes;Degree;175;yes;Degree;180;no;Virgo
female;55;172;blue;brown;40;4;2;4;yes;Secondary;173;yes;Secondary;180;yes;Aries
female;51;164;brown;brown;38;2;4;2;no;Degree;168;no;Degree;174;no;Taurus
